iter	Passed	Remaining
0	59	59440
1	59	29832
2	60	19997
3	60	15051
4	60	12086
5	61	10120
6	61	8710
7	61	7657
8	61	6825
9	62	6161
10	62	5619
11	62	5169
12	63	4785
13	63	4465
14	63	4184
15	64	3936
16	64	3715
17	64	3519
18	64	3350
19	65	3192
20	65	3050
21	65	2920
22	65	2801
23	66	2692
24	66	2592
25	66	2500
26	67	2419
27	67	2339
28	67	2267
29	68	2200
30	68	2138
31	68	2079
32	68	2021
33	69	1970
34	69	1920
35	69	1872
36	70	1826
37	70	1783
38	70	1743
39	71	1705
40	71	1669
41	71	1634
42	71	1601
43	72	1569
44	72	1539
45	72	1511
46	73	1483
47	73	1457
48	73	1432
49	74	1407
50	74	1386
51	74	1363
52	75	1341
53	75	1320
54	75	1300
55	75	1280
56	76	1260
57	76	1242
58	76	1224
59	77	1207
60	77	1190
61	77	1174
62	77	1159
63	78	1145
64	78	1130
65	78	1116
66	79	1102
67	79	1088
68	79	1074
69	79	1062
70	80	1050
71	80	1039
72	80	1028
73	81	1017
74	81	1006
75	81	995
76	82	986
77	82	975
78	82	966
79	83	957
80	83	946
81	83	937
82	83	926
83	84	917
84	84	908
85	84	899
86	84	891
87	85	882
88	85	874
89	85	866
90	85	858
91	86	850
92	86	844
93	86	837
94	87	830
95	87	824
96	87	817
97	88	811
98	88	804
99	88	798
100	89	792
101	89	787
102	89	781
103	89	774
104	90	768
105	91	768
106	91	762
107	91	756
108	91	751
109	92	745
110	92	740
111	92	735
112	93	730
113	93	725
114	93	720
115	93	715
116	94	709
117	94	705
118	94	701
119	94	696
120	95	692
121	95	686
122	95	682
123	96	678
124	96	674
125	96	670
126	96	665
127	97	661
128	97	658
129	97	654
130	98	650
131	98	646
132	98	642
133	98	638
134	99	634
135	99	630
136	99	626
137	99	622
138	99	619
139	100	616
140	100	612
141	100	608
142	100	604
143	101	601
144	101	598
145	101	594
146	101	591
147	102	588
148	102	585
149	102	582
150	103	579
151	103	576
152	103	573
153	103	570
154	104	568
155	104	565
156	104	562
157	105	559
158	105	556
159	105	554
160	105	550
161	105	548
162	106	546
163	106	544
164	107	541
165	107	539
166	107	537
167	107	534
168	108	532
169	108	529
170	108	527
171	109	525
172	109	522
173	109	520
174	109	518
175	110	515
176	110	513
177	110	511
178	111	509
179	111	507
180	111	505
181	111	503
182	112	500
183	112	498
184	112	496
185	113	494
186	113	492
187	113	490
188	113	488
189	114	486
190	114	484
191	114	482
192	114	480
193	115	478
194	115	476
195	115	474
196	115	472
197	116	470
198	116	469
199	116	467
200	117	465
201	117	463
202	117	461
203	117	460
204	118	458
205	118	456
206	118	454
207	119	453
208	119	451
209	119	449
210	119	448
211	120	446
212	120	444
213	120	442
214	120	441
215	121	439
216	121	437
217	121	436
218	121	434
219	122	433
220	122	431
221	122	430
222	123	428
223	123	427
224	123	425
225	123	424
226	124	422
227	124	421
228	124	420
229	125	418
230	125	417
231	125	415
232	125	414
233	126	413
234	126	411
235	126	410
236	127	408
237	127	407
238	127	406
239	128	405
240	128	404
241	128	402
242	128	401
243	129	400
244	129	398
245	129	397
246	130	396
247	130	395
248	130	393
249	130	392
250	131	391
251	132	392
252	132	391
253	132	389
254	132	388
255	133	387
256	133	386
257	133	385
258	134	384
259	134	382
260	134	381
261	134	380
262	135	379
263	135	377
264	135	376
265	136	375
266	136	374
267	136	372
268	136	372
269	137	370
270	137	370
271	137	368
272	138	367
273	138	366
274	138	365
275	138	364
276	139	363
277	139	362
278	139	360
279	139	359
280	140	358
281	140	357
282	140	356
283	140	354
284	141	353
285	141	352
286	141	351
287	141	350
288	141	349
289	142	347
290	142	346
291	142	345
292	142	344
293	143	343
294	143	342
295	143	341
296	143	340
297	143	339
298	144	338
299	144	336
300	144	335
301	144	334
302	145	333
303	145	332
304	145	331
305	145	330
306	146	329
307	146	328
308	146	327
309	146	326
310	147	326
311	147	325
312	147	324
313	148	323
314	148	322
315	148	321
316	148	320
317	149	320
318	149	319
319	149	318
320	150	317
321	150	316
322	150	315
323	150	314
324	151	313
325	151	312
326	151	312
327	151	311
328	152	310
329	152	309
330	152	308
331	152	307
332	153	306
333	153	306
334	153	305
335	153	304
336	154	303
337	154	302
338	154	301
339	155	301
340	155	300
341	155	299
342	155	298
343	156	297
344	156	297
345	156	296
346	156	295
347	157	294
348	157	293
349	157	293
350	158	292
351	158	291
352	158	290
353	158	289
354	159	289
355	159	288
356	159	287
357	159	286
358	160	286
359	160	285
360	160	284
361	161	284
362	161	283
363	161	282
364	162	281
365	162	281
366	162	280
367	162	279
368	163	278
369	163	278
370	163	277
371	163	276
372	164	275
373	164	275
374	164	274
375	164	273
376	165	272
377	165	272
378	165	271
379	165	270
380	166	269
381	166	269
382	166	268
383	166	267
384	167	266
385	167	266
386	167	265
387	167	264
388	168	264
389	168	263
390	168	262
391	169	262
392	169	261
393	169	260
394	169	260
395	170	259
396	170	258
397	170	258
398	171	257
399	171	256
400	171	256
401	171	255
402	172	254
403	172	254
404	172	253
405	172	252
406	173	252
407	173	251
408	173	250
409	173	250
410	174	249
411	174	248
412	174	248
413	174	247
414	175	247
415	175	246
416	175	245
417	176	245
418	176	244
419	176	243
420	176	243
421	177	242
422	177	241
423	177	241
424	177	240
425	178	240
426	178	239
427	178	238
428	178	238
429	179	237
430	179	236
431	179	236
432	180	235
433	180	235
434	180	234
435	180	233
436	181	233
437	181	232
438	181	232
439	181	231
440	182	230
441	182	230
442	182	229
443	182	228
444	183	228
445	183	227
446	183	227
447	184	226
448	184	226
449	184	225
450	184	225
451	185	224
452	185	224
453	185	223
454	186	222
455	186	222
456	186	221
457	186	221
458	187	220
459	187	220
460	187	219
461	188	219
462	188	218
463	188	217
464	188	217
465	189	216
466	189	216
467	189	215
468	190	215
469	190	214
470	190	214
471	190	213
472	191	212
473	191	212
474	191	211
475	191	211
476	192	210
477	192	210
478	192	209
479	193	209
480	193	208
481	193	208
482	193	207
483	194	206
484	194	206
485	194	205
486	194	205
487	195	204
488	195	204
489	195	203
490	195	203
491	196	202
492	196	202
493	196	201
494	197	201
495	197	200
496	197	200
497	197	199
498	198	198
499	198	198
500	198	198
501	199	197
502	199	196
503	199	196
504	199	195
505	200	195
506	200	194
507	200	194
508	201	193
509	201	193
510	201	192
511	201	192
512	202	191
513	202	191
514	202	190
515	203	190
516	203	189
517	203	189
518	204	189
519	204	188
520	204	188
521	204	187
522	205	187
523	205	186
524	205	185
525	205	185
526	206	184
527	206	184
528	206	183
529	206	183
530	207	182
531	207	182
532	207	181
533	207	181
534	208	180
535	208	180
536	208	179
537	208	179
538	209	178
539	209	178
540	209	177
541	209	177
542	210	177
543	210	176
544	210	175
545	211	175
546	211	175
547	211	174
548	211	174
549	212	173
550	212	173
551	212	172
552	213	172
553	213	171
554	213	171
555	213	170
556	214	170
557	214	169
558	214	169
559	214	168
560	215	168
561	215	167
562	215	167
563	216	166
564	216	166
565	216	166
566	216	165
567	217	165
568	217	164
569	217	164
570	218	163
571	218	163
572	218	162
573	219	162
574	219	162
575	219	161
576	219	161
577	220	160
578	220	160
579	220	159
580	220	159
581	221	158
582	221	158
583	221	158
584	222	157
585	222	157
586	222	156
587	222	156
588	223	155
589	223	155
590	223	154
591	223	154
592	224	153
593	224	153
594	224	152
595	224	152
596	225	151
597	225	151
598	225	151
599	225	150
600	226	150
601	226	149
602	226	149
603	227	148
604	227	148
605	227	147
606	227	147
607	228	147
608	228	146
609	228	146
610	228	145
611	229	145
612	229	144
